car-f-92.stu,543,0.137732,381,63,0,74.7882,75.4148
car-s-91.stu,682,0.128198,472,77,0,87.4311,70.9621
ear-f-83.stu,190,0.26554,134,45,4,50.4526,56.2615
hec-s-92.stu,81,0.415485,62,32,9,33.6543,36.5528
kfu-s-93.stu,461,0.055458,247,18,0,25.5662,120.117
lse-f-91.stu,381,0.0624272,134,16,0,23.7848,93.2785
pur-s-93.stu,2419,0.0294831,857,47,0,71.3196,129.506
rye-s-93.stu,486,0.075124,274,24,0,36.5103,111.876
sta-f-83.stu,139,0.142953,61,16,7,19.8705,67.6084
tre-s-92.stu,261,0.180003,145,45,0,46.9808,59.7332
uta-s-92.stu,622,0.125355,303,65,1,77.9711,73.7303
ute-s-92.stu,184,0.0844754,58,13,2,15.5435,69.3237
yor-f-83.stu,181,0.287293,117,51,7,52,35.3245
